date,regime,regime_label,portfolio_USMV_overlay,portfolio_cash_baseline,SPY,USMV,cumret_USMV_overlay_pct,cumret_cash_baseline_pct,cumret_SPY_pct,cumret_USMV_etf_pct,portfolio_USMV_USD,portfolio_cash_USD,cash_USD,positions_value_USD,n_positions
2023-01-03,0,bull,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,0
2023-01-04,0,bull,101.3172,101.3172,100.772,100.5543,1.3172,1.3172,0.772,0.5543,1013.1725,1013.1725,640.0008,373.1717,6
2023-01-05,0,bull,98.6982,98.6982,99.6219,99.6259,-1.3018,-1.3018,-0.3781,-0.3741,986.9825,986.9825,575.0836,411.8989,7
2023-01-06,0,bull,99.2856,99.2856,101.9064,101.7875,-0.7144,-0.7144,1.9064,1.7875,992.8558,992.8558,554.8817,437.9741,8
2023-01-09,0,bull,100.8479,100.8479,101.8486,101.0531,0.8479,0.8479,1.8486,1.0531,1008.4791,1008.4791,573.8532,434.6259,8
2023-01-10,0,bull,102.1643,102.1643,102.5629,101.3441,2.1643,2.1643,2.5629,1.3441,1021.643,1021.643,451.043,570.6,10
2023-01-11,0,bull,104.8156,104.8156,103.8601,102.2309,4.8156,4.8156,3.8601,2.2309,1048.1562,1048.1562,388.1326,660.0236,11
2023-01-12,0,bull,109.3709,109.3709,104.2382,101.9537,9.3709,9.3709,4.2382,1.9537,1093.709,1093.709,408.1984,685.5106,11
2023-01-13,0,bull,108.4358,108.4358,104.6426,102.0784,8.4358,8.4358,4.6426,2.0784,1084.358,1084.358,437.9365,646.4215,11
2023-01-17,0,bull,110.6605,110.6605,104.4509,101.6073,10.6605,10.6605,4.4509,1.6073,1106.6055,1106.6055,437.9365,668.669,11
2023-01-18,0,bull,108.3076,108.3076,102.8018,99.8199,8.3076,8.3076,2.8018,-0.1801,1083.0763,1083.0763,451.1165,631.9597,11
2023-01-19,0,bull,106.2595,106.2595,102.0535,99.2102,6.2595,6.2595,2.0535,-0.7898,1062.595,1062.595,548.4842,514.1108,10
2023-01-20,0,bull,109.4818,109.4818,103.9546,100.2633,9.4818,9.4818,3.9546,0.2633,1094.8181,1094.8181,501.3462,593.4718,11
2023-01-23,0,bull,112.6325,112.6325,105.2019,100.7483,12.6325,12.6325,5.2019,0.7483,1126.3254,1126.3254,433.7911,692.5342,12
2023-01-24,0,bull,111.3995,111.3995,105.089,100.7344,11.3995,11.3995,5.089,0.7344,1113.9953,1113.9953,637.0962,476.8991,8
2023-01-25,0,bull,112.3283,112.3283,105.1284,100.8868,12.3283,12.3283,5.1284,0.8868,1123.2832,1123.2832,492.8143,630.4688,10
2023-01-26,0,bull,112.6827,112.6827,106.2838,101.0392,12.6827,12.6827,6.2838,1.0392,1126.8273,1126.8273,292.1096,834.7177,13
2023-01-27,0,bull,117.5007,117.5007,106.528,100.7344,17.5007,17.5007,6.528,0.7344,1175.0065,1175.0065,221.8998,953.1068,14
2023-01-30,0,bull,115.9635,115.9635,105.1914,100.2494,15.9635,15.9635,5.1914,0.2494,1159.6346,1159.6346,245.0211,914.6135,14
2023-01-31,0,bull,118.4779,118.4779,106.7381,101.4272,18.4779,18.4779,6.7381,1.4272,1184.7788,1184.7788,272.2577,912.5211,13
2023-02-01,0,bull,127.479,127.479,107.8725,102.0507,27.479,27.479,7.8725,2.0507,1274.7898,1274.7898,196.0207,1078.7691,14
2023-02-02,0,bull,134.5039,134.5039,109.4428,101.9122,34.5039,34.5039,9.4428,1.9122,1345.0394,1345.0394,196.0207,1149.0187,14
2023-02-03,0,bull,130.6718,130.6718,108.2795,101.1224,30.6718,30.6718,8.2795,1.1224,1306.718,1306.718,196.0207,1110.6973,14
2023-02-06,0,bull,128.5673,128.5673,107.6178,100.9145,28.5673,28.5673,7.6178,0.9145,1285.6729,1285.6729,189.1226,1096.5503,15
2023-02-07,0,bull,129.4011,129.4011,109.0253,101.3856,29.4011,29.4011,9.0253,1.3856,1294.0111,1294.0111,219.7215,1074.2896,15
2023-02-08,0,bull,129.534,129.534,107.8331,100.4018,29.534,29.534,7.8331,0.4018,1295.3399,1295.3399,280.6524,1014.6874,15
2023-02-09,0,bull,127.0569,127.0569,106.8982,99.7922,27.0569,27.0569,6.8982,-0.2078,1270.5687,1270.5687,342.8842,927.6846,15
2023-02-10,0,bull,123.0142,123.0142,107.1477,100.7205,23.0142,23.0142,7.1477,0.7205,1230.1422,1230.1422,391.84,838.3021,15
2023-02-13,0,bull,124.6381,124.6381,108.4055,101.5658,24.6381,24.6381,8.4055,1.5658,1246.3813,1246.3813,541.9443,704.437,13
2023-02-14,0,bull,127.8574,127.8574,108.3557,100.7621,27.8574,27.8574,8.3557,0.7621,1278.5743,1278.5743,673.8888,604.6855,11
2023-02-15,0,bull,134.9079,134.9079,108.7075,101.0115,34.9079,34.9079,8.7075,1.0115,1349.0795,1349.0795,546.236,802.8435,11
2023-02-16,0,bull,130.3734,130.3734,107.2107,100.4296,30.3734,30.3734,7.2107,0.4296,1303.7342,1303.7342,570.6435,733.0907,11
2023-02-17,0,bull,129.0098,129.0098,106.9429,100.9284,29.0098,29.0098,6.9429,0.9284,1290.0982,1290.0982,496.4213,793.6769,13
2023-02-21,0,bull,124.3148,124.3148,104.7975,99.6398,24.3148,24.3148,4.7975,-0.3602,1243.1484,1243.1484,700.7581,542.3902,11
2023-02-22,0,bull,124.9006,124.9006,104.6531,99.2656,24.9006,24.9006,4.6531,-0.7344,1249.0059,1249.0059,550.9173,698.0886,13
2023-02-23,0,bull,126.0725,126.0725,105.2098,99.2933,26.0725,26.0725,5.2098,-0.7067,1260.725,1260.725,637.7123,623.0127,12
2023-02-24,0,bull,123.9867,123.9867,104.0859,98.5035,23.9867,23.9867,4.0859,-1.4965,1239.8667,1239.8667,673.7641,566.1027,11
2023-02-27,0,bull,124.8881,124.8881,104.4404,98.5313,24.8881,24.8881,4.4404,-1.4687,1248.8806,1248.8806,662.0101,586.8704,11
2023-02-28,0,bull,124.5261,124.5261,104.0544,97.88,24.5261,24.5261,4.0544,-2.12,1245.2606,1245.2606,647.5262,597.7344,11
2023-03-01,0,bull,123.8488,123.8488,103.6553,97.3673,23.8488,23.8488,3.6553,-2.6327,1238.488,1238.488,691.192,547.296,11
2023-03-02,0,bull,124.7321,124.7321,104.4614,98.2126,24.7321,24.7321,4.4614,-1.7874,1247.3209,1247.3209,742.075,505.2459,11
2023-03-03,0,bull,126.1637,126.1637,106.1367,99.0994,26.1637,26.1637,6.1367,-0.9006,1261.6368,1261.6368,682.7984,578.8385,12
2023-03-06,0,bull,124.8306,124.8306,106.2103,99.1409,24.8306,24.8306,6.2103,-0.8591,1248.3065,1248.3065,815.2548,433.0516,10
2023-03-07,0,bull,124.4678,124.4678,104.5822,97.9355,24.4678,24.4678,4.5822,-2.0645,1244.6785,1244.6785,811.1494,433.5291,9
2023-03-08,0,bull,125.0801,125.0801,104.7529,97.9632,25.0801,25.0801,4.7529,-2.0368,1250.8008,1250.8008,736.2275,514.5733,10
2023-03-09,0,bull,122.3632,122.3632,102.8202,96.8547,22.3632,22.3632,2.8202,-3.1453,1223.6321,1223.6321,798.0224,425.6096,9
2023-03-10,0,bull,119.5701,119.5701,101.3366,95.7739,19.5701,19.5701,1.3366,-4.2261,1195.7015,1195.7015,894.5219,301.1796,6
2023-03-13,0,bull,120.5086,120.5086,101.1922,96.1064,20.5086,20.5086,1.1922,-3.8936,1205.086,1205.086,783.225,421.861,8
2023-03-14,0,bull,119.7311,119.7311,102.8649,97.0071,19.7311,19.7311,2.8649,-2.9929,1197.3109,1197.3109,691.0664,506.2446,9
2023-03-15,0,bull,121.0515,121.0515,102.2215,96.8685,21.0515,21.0515,2.2215,-3.1315,1210.5155,1210.5155,729.0759,481.4396,9
2023-03-16,0,bull,123.1331,123.1331,104.015,97.8246,23.1331,23.1331,4.015,-2.1754,1231.3306,1231.3306,565.9921,665.3385,11
